iter	RMSE
0	692593.1731
1	657153.687
2	627383.3333
3	600303.8518
4	574256.7582
5	551832.5821
6	530249.2986
7	510181.6425
8	492922.3054
9	474628.9978
10	458165.6143
11	444797.3263
12	431140.9195
13	416736.9227
14	404516.6726
15	394668.5549
16	384317.0063
17	375046.2605
18	365705.9425
19	356378.0749
20	347190.4303
21	340012.5757
22	332014.6206
23	325446.6613
24	319010.4662
25	312835.6348
26	306642.3512
27	300691.5079
28	295202.7421
29	290046.7783
30	284801.1693
31	280249.2872
32	275681.5026
33	271620.9336
34	267320.2931
35	263445.1241
36	259670.6493
37	256280.9138
38	252550.6719
39	249254.6083
40	246218.966
41	242968.3986
42	239929.6362
43	236809.0542
44	234254.5454
45	231142.7026
46	228520.1198
47	226011.8988
48	223583.1084
49	221447.6999
50	218992.0594
51	216671.7801
52	214768.5636
53	212902.7991
54	210642.1588
55	208729.0524
56	206682.3685
57	204938.9691
58	203002.6797
59	201449.43
60	199848.899
61	197994.997
62	196677.9254
63	194848.5581
64	193368.5173
65	191731.1069
66	190360.1573
67	188897.3796
68	187339.8943
69	185907.617
70	184682.55
71	183759.3974
72	182710.4349
73	181922.4211
74	180764.0284
75	179591.867
76	178555.5204
77	177465.3395
78	176358.7625
79	175188.5999
80	174176.1952
81	173170.6668
82	171955.5097
83	171221.5509
84	170430.4841
85	169290.1644
86	168558.2069
87	167491.7112
88	166560.6979
89	165609.2452
90	164480.1722
91	163555.4002
92	162534.5275
93	161718.5867
94	161094.3821
95	160398.0423
96	159590.3455
97	158783.7538
98	158005.352
99	157215.8338
100	156625.3799
101	155748.6311
102	154947.3731
103	154323.7682
104	153566.7134
105	152897.2023
106	152262.9075
107	151642.8164
108	151044.1463
109	150534.4379
110	149814.9071
111	149324.0611
112	148521.4043
113	147963.607
114	147056.3879
115	146432.2982
116	145851.1315
117	145559.0233
118	145159.688
119	144756.9335
120	144332.8962
121	143793.6756
122	143337.5804
123	142936.3561
124	142406.4956
125	141855.3979
126	141422.6491
127	141004.1982
128	140596.2615
129	140098.5796
130	139519.7815
131	139165.2515
132	138605.1232
133	137859.6339
134	137478.0881
135	137097.7223
136	136698.7262
137	136151.5019
138	135747.6748
139	135369.1289
140	134715.5574
141	134164.4481
142	133535.5279
143	133180.7188
144	132564.1102
145	132081.2534
146	131665.2407
147	131244.6576
148	131015.7957
149	130595.2835
150	130193.8155
151	129852.113
152	129540.9417
153	128783.9104
154	128468.7618
155	128101.857
156	127633.4952
157	127152.6683
158	126853.9765
159	126598.3663
160	126300.6374
161	125850.9655
162	125575.7559
163	125229.3278
164	124571.479
165	124025.0855
166	123662.8958
167	123286.1273
168	122805.2154
169	122615.6115
170	122457.582
171	122121.166
172	121713.0914
173	121260.2734
174	121256.3021
175	121112.0404
176	120830.8177
177	120291.5522
178	119951.1463
179	119448.1993
180	118976.3832
181	118558.5548
182	118270.9766
183	117957.2703
184	117704.3065
185	117300.2108
186	116915.7112
187	116735.4567
188	116484.1934
189	116161.8798
190	115784.5518
191	115526.2147
192	114997.2225
193	114851.4066
194	114567.3583
195	114289.3801
196	114046.6817
197	114042.6125
198	113789.7126
199	113546.5924
200	113472.4617
201	113258.7506
202	112895.1251
203	112372.9684
204	112199.255
205	111895.2646
206	111602.8995
207	111177.0707
208	111173.493
209	111145.155
210	110933.3013
211	110579.6097
212	110307.8243
213	110007.2796
214	109679.3039
215	109436.9778
216	109199.4984
217	108987.698
218	108560.654
219	108361.7085
220	108147.8668
221	107927.078
222	107683.4748
223	107404.4172
224	107231.8013
225	107070.8772
226	106931.077
227	106573.3324
228	106390.1139
229	106122.1104
230	105917.3077
231	105610.5532
232	105446.8928
233	105258.9147
234	105009.5258
235	104837.2972
236	104622.6241
237	104353.4771
238	104200.1596
239	104023.2236
240	103767.4378
241	103644.9533
242	103501.5139
243	103317.2121
244	103101.4564
245	102986.6978
246	102805.212
247	102555.9133
248	102416.248
249	102307.5255
250	102121.0989
251	101838.7229
252	101556.9593
253	101415.351
254	101205.2246
255	101122.1266
256	100947.8058
257	100758.7971
258	100497.9734
259	100285.1133
260	99876.62734
261	99666.97526
262	99544.84237
263	99270.87123
264	99095.38695
265	98961.70109
266	98913.72812
267	98703.34591
268	98606.10826
269	98397.9341
270	98233.63493
271	98022.87834
272	97861.68399
273	97832.80937
274	97728.52594
275	97499.26043
276	97359.86533
277	97113.68238
278	96851.35634
279	96500.23645
280	96316.67965
281	96208.08445
282	96031.04523
283	95794.85013
284	95509.76631
285	95285.43911
286	95100.21753
287	94872.78498
288	94614.4964
289	94420.41535
290	94170.67657
291	94066.72939
292	93841.56902
293	93654.35484
294	93491.40129
295	93481.14718
296	93373.37251
297	93237.09505
298	93052.0143
299	92826.41266
300	92594.32063
301	92378.5788
302	92166.78559
303	91948.02169
304	91896.60741
305	91802.44741
306	91665.01363
307	91587.82033
308	91355.78678
309	91267.97978
310	91079.45372
311	90859.54832
312	90673.85618
313	90498.40886
314	90333.73471
315	90231.72562
316	90066.91006
317	89903.80191
318	89695.83422
319	89695.06741
320	89364.60729
321	89183.95217
322	88900.75843
323	88727.19744
324	88620.18056
325	88590.2789
326	88478.01672
327	88422.68877
328	88251.97371
329	88046.03704
330	87988.69617
331	87958.36217
332	87803.61257
333	87671.53482
334	87526.42017
335	87443.07345
336	87296.02833
337	87138.07932
338	86975.00463
339	86793.64809
340	86642.21547
341	86486.57962
342	86349.37573
343	86214.90762
344	86031.48784
345	85789.93382
346	85656.38911
347	85498.70768
348	85392.817
349	85204.75804
350	85034.70799
351	84850.77809
352	84782.37871
353	84723.75825
354	84594.08374
355	84492.14702
356	84413.26381
357	84218.78343
358	84129.59167
359	83947.9726
360	83903.7566
361	83792.94222
362	83648.14827
363	83633.48859
364	83500.3299
365	83402.9571
366	83253.60785
367	83172.88301
368	82991.04167
369	82873.57364
370	82751.48351
371	82626.46379
372	82556.96354
373	82367.59031
374	82282.38329
375	82203.56724
376	82086.79434
377	81960.50403
378	81873.88322
379	81749.85102
380	81702.42361
381	81590.95863
382	81511.5814
383	81351.48734
384	81265.56818
385	81149.44678
386	81041.63735
387	80917.34721
388	80846.91072
389	80746.92194
390	80686.67297
391	80592.96813
392	80449.58938
393	80288.47647
394	80211.12196
395	80054.46539
396	79930.34677
397	79831.08187
398	79656.27195
399	79461.82599
400	79374.34129
401	79283.93586
402	79228.37542
403	79130.87222
404	79101.07278
405	78990.90034
406	78911.32483
407	78766.31448
408	78628.08027
409	78507.99299
410	78468.81866
411	78360.2758
412	78348.28608
413	78255.5175
414	78183.81718
415	78057.4618
416	77908.24413
417	77807.02785
418	77723.04442
419	77556.0871
420	77449.59821
421	77278.62608
422	77112.18227
423	76982.2473
424	76933.9542
425	76820.73609
426	76662.6981
427	76574.19519
428	76371.32785
429	76256.13623
430	76196.87575
431	76093.14714
432	75986.42107
433	75916.28886
434	75824.36218
435	75755.98195
436	75618.65231
437	75504.2122
438	75430.96618
439	75347.33713
440	75235.75855
441	75188.30199
442	75001.5073
443	74864.90189
444	74762.17058
445	74688.68237
446	74587.26142
447	74473.2869
448	74364.15614
449	74272.45538
450	74153.9218
451	74119.67905
452	74046.75104
453	73946.3984
454	73879.42024
455	73782.91742
456	73703.21393
457	73507.71504
458	73369.65777
459	73262.85225
460	73152.75269
461	73086.4068
462	73070.91872
463	73016.47605
464	72960.35128
465	72821.67137
466	72743.65164
467	72604.42752
468	72514.32423
469	72489.6026
470	72382.13895
471	72325.18681
472	72322.73582
473	72260.41849
474	72212.56498
475	72142.56865
476	72085.63251
477	72019.92853
478	71922.70071
479	71855.41706
480	71846.48561
481	71770.57751
482	71698.47746
483	71643.89468
484	71594.25897
485	71482.45145
486	71413.13614
487	71302.95696
488	71216.11457
489	71159.67006
490	71074.85736
491	71043.25382
492	70979.8557
493	70910.98353
494	70875.51708
495	70831.36817
496	70724.57385
497	70610.77685
498	70539.53992
499	70426.52509
