iter	Passed	Remaining
0	416	208047
1	840	209207
2	1263	209323
3	1673	207513
4	2095	207423
5	2511	206741
6	2925	206004
7	3344	205690
8	3761	205209
9	4178	204770
10	4606	204796
11	5015	203943
12	5427	203307
13	5839	202724
14	6249	202072
15	6676	201967
16	7100	201749
17	7527	201569
18	7954	201385
19	8380	201140
20	8802	200777
21	9222	200379
22	9632	199776
23	10052	199366
24	10476	199058
25	10901	198740
26	11310	198142
27	11725	197662
28	12139	197167
29	12574	196996
30	12986	196466
31	13407	196088
32	13831	195731
33	14240	195182
34	14663	194812
35	15089	194485
36	15508	194067
37	15938	193775
38	16363	193426
39	16784	193023
40	17211	192683
41	17631	192264
42	18035	191677
43	18440	191106
44	18877	190867
45	19291	190397
46	19714	190014
47	20131	189567
48	20548	189130
49	20965	188687
50	21373	188173
51	21789	187725
52	22216	187375
53	22647	187055
54	23082	186757
55	23500	186322
56	23922	185927
57	24350	185569
58	24786	185267
59	25190	184731
60	25609	184302
61	26030	183891
62	26425	183298
63	26840	182853
64	27234	182261
65	27637	181737
66	28065	181376
67	28470	180873
68	28860	180276
69	29256	179720
70	29650	179155
71	30047	178616
72	30443	178072
73	30836	177520
74	31238	177020
75	31628	176451
76	32017	175889
77	32400	175297
78	32788	174734
79	33185	174223
80	33583	173720
81	33966	173146
82	34357	172616
83	34768	172184
84	35173	171731
85	35568	171227
86	35996	170879
87	36395	170398
88	36793	169911
89	37227	169592
90	37649	169215
91	38068	168826
92	38515	168558
93	38913	168073
94	39325	167651
95	39733	167211
96	40136	166753
97	40529	166255
98	40916	165733
99	41314	165256
100	41705	164758
101	42103	164285
102	42503	163825
103	42895	163332
104	43316	162952
105	43711	162474
106	44103	161986
107	44485	161466
108	44878	160986
109	45267	160494
110	45653	159991
111	46040	159497
112	46426	159000
113	46808	158491
114	47187	157974
115	47552	157414
116	47934	156913
117	48321	156429
118	48703	155934
119	49085	155437
120	49458	154915
121	49828	154386
122	50203	153875
123	50577	153365
124	50974	152924
125	51379	152508
126	51786	152097
127	52174	151631
128	52560	151163
129	52973	150772
130	53353	150284
131	53737	149812
132	54107	149304
133	54484	148814
134	54856	148315
135	55248	147870
136	55624	147383
137	56000	146900
138	56369	146397
139	56748	145924
140	57125	145446
141	57515	145003
142	57905	144562
143	58285	144095
144	58666	143631
145	59103	143304
146	59514	142914
147	59904	142475
148	60301	142052
149	60689	141609
150	61072	141155
151	61464	140722
152	61863	140305
153	62247	139855
154	62652	139452
155	63043	139019
156	63436	138590
157	63833	138170
158	64224	137739
159	64617	137312
160	65019	136903
161	65409	136472
162	65831	136105
163	66221	135674
164	66611	135242
165	67013	134834
166	67429	134455
167	67829	134044
168	68231	133636
169	68631	133225
170	69030	132813
171	69439	132420
172	69853	132034
173	70259	131636
174	70265	130493
175	70634	130032
176	71032	129623
177	71419	129197
178	71825	128804
179	72265	128471
180	72701	128131
181	73124	127767
182	73536	127382
183	73936	126977
184	74341	126581
185	74755	126199
186	75151	125788
187	75566	125407
188	75966	125002
189	76385	124629
190	76811	124265
191	77230	123889
192	77632	123487
193	78038	123091
194	78445	122696
195	78836	122276
196	79231	121863
197	79242	120864
198	79653	120481
199	80058	120087
200	80472	119707
201	80882	119321
202	81293	118937
203	81709	118558
204	82114	118165
205	82565	117836
206	82977	117451
207	83377	117048
208	83388	116105
209	83396	115165
210	83796	114773
211	84201	114386
212	84610	114005
213	85018	113622
214	85425	113238
215	85833	112855
216	86240	112470
217	86649	112088
218	87056	111702
219	87481	111339
220	87890	110956
221	88318	110596
222	88732	110219
223	89152	109848
224	89569	109473
225	89989	109102
226	90392	108709
227	90790	108311
228	91196	107922
229	91600	107531
230	92012	107148
231	92428	106770
232	92823	106369
233	93224	105973
234	93627	105579
235	94026	105182
236	94427	104786
237	94833	104396
238	95230	103996
239	95624	103593
240	96029	103201
241	96428	102804
242	96823	102402
243	97239	102021
244	97652	101638
245	98060	101249
246	98465	100857
247	98878	100473
248	99291	100088
249	99698	99698
250	100108	99311
251	100530	98934
252	100938	98545
253	101336	98144
254	101743	97753
255	102148	97359
256	102552	96965
257	102958	96573
258	103363	96180
259	103771	95789
260	104196	95413
261	104614	95031
262	105023	94641
263	105430	94248
264	105876	93890
265	106278	93492
266	106679	93095
267	107090	92705
268	107504	92317
269	107914	91926
270	108319	91532
271	108727	91139
272	109140	90750
273	109196	90066
274	109604	89676
275	110012	89285
276	110411	88886
277	110807	88486
278	111214	88094
279	111619	87700
280	112036	87316
281	112466	86942
282	112887	86560
283	113303	86174
284	113718	85787
285	114132	85399
286	114540	85007
287	114955	84620
288	115353	84219
289	115772	83834
290	116200	83456
291	116630	83079
292	117050	82694
293	117484	82319
294	117900	81930
295	117906	81259
296	118329	80878
297	118756	80499
298	119170	80110
299	119579	79719
300	119993	79331
301	120407	78942
302	120814	78549
303	121235	78164
304	121653	77778
305	122069	77390
306	122481	76999
307	122896	76610
308	123312	76222
309	123730	75835
310	124152	75449
311	124557	75053
312	124958	74655
313	125368	74263
314	125786	73874
315	126190	73477
316	126586	73077
317	127005	72688
318	127418	72296
319	127523	71732
320	127951	71349
321	128366	70960
322	128777	70568
323	129193	70179
324	129602	69785
